! R36 NASA7 thermo generated by least-squares fitting from uploaded NASA9 YAML
THERMO
   298.150  1000.000  5000.000
N2O4                    N   2O   4          G   298.150  5000.000  1012.120    1
 1.05731688E+01 5.71278192E-03-2.38103576E-06 4.44828341E-10-3.09590031E-14    2
-2.88103484E+03-2.65712080E+01 3.08258143E+00 2.84512912E-02-3.06715610E-05    3
 1.87964688E-08-5.34391078E-12-8.54567593E+02 1.17901871E+01                   4
NO2                     N   1O   2          G   298.150  5000.000  1012.120    1
 4.69241781E+00 2.40362677E-03-9.93882778E-07 1.84481094E-10-1.27684062E-14    2
 2.26518707E+03 9.72441523E-01 2.65915085E+00 7.83655157E-03-7.74957601E-06    3
 5.43094386E-09-1.90300512E-12 2.90060588E+03 1.16867255E+01                   4
CH3NHNH2                C   1H   6N   2     G   298.150  5000.000  1012.120    1
 6.31992366E+00 1.54715897E-02-5.25188498E-06 8.11366935E-10-4.69143546E-14    2
 8.19485960E+03-9.70718452E+00-8.42213716E-02 3.30351088E-02-2.79655715E-05    3
 1.89272342E-08-6.54417809E-12 1.01599406E+04 2.39112873E+01                   4
CH3NNH                  C   1H   4N   2     G   298.150  5000.000  1012.120    1
 5.35193554E+00 1.17509726E-02-4.10755047E-06 6.48888355E-10-3.81732349E-14    2
 1.87935266E+04-3.87276613E+00 3.08609731E+00 8.57977771E-03 1.43613467E-05    3
-1.75949198E-08 5.21123893E-12 1.99999341E+04 1.04850078E+01                   4
CH3NNH2                 C   1H   5N   2     G   298.150  5000.000  1012.120    1
 6.36484227E+00 1.31369930E-02-4.51123378E-06 7.02892309E-10-4.08704110E-14    2
 2.19390057E+04-8.30763706E+00 2.46163470E+00 1.82574526E-02-1.49694457E-06    3
-4.95798511E-09 1.43400065E-12 2.33977667E+04 1.35458119E+01                   4
HONO                    H   1N   1O   2     G   298.150  5000.000  1012.120    1
 5.55290541E+00 4.03996650E-03-1.52873505E-06 2.67184281E-10-1.77235865E-14    2
-1.12921982E+04-3.31891075E+00 2.02430958E+00 1.59426244E-02-1.81689190E-05    3
 1.19921426E-08-3.46980765E-12-1.04088554E+04 1.44281644E+01                   4
CH3                     C   1H   3          G   298.150  5000.000  1012.120    1
 2.88592650E+00 5.97538927E-03-2.11643402E-06 3.49961785E-10-2.21495680E-14    2
 1.64549818E+04 5.29294751E+00 2.66767763E+00 9.33192254E-03-1.20366341E-05    3
 1.09334231E-08-3.79148425E-12 1.64101052E+04 5.81905723E+00                   4
CH4                     C   1H   4          G   298.150  5000.000  1012.120    1
 1.77199401E+00 9.90296922E-03-3.63781360E-06 6.18450347E-10-4.00022888E-14    2
-1.00782285E+04 9.25612692E+00 1.51275115E+00 1.18737275E-02-1.27895405E-05    3
 1.36585513E-08-5.58457282E-12-9.90374014E+03 1.06926419E+01                   4
CH3NN                   C   1H   3N   2     G   298.150  5000.000  1012.120    1
 5.59079886E+00 8.94372383E-03-3.11742834E-06 4.90769559E-10-2.87498034E-14    2
 2.58266174E+04-3.20338693E+00 3.40113296E+00 1.03585708E-02 1.56922928E-06    3
-4.31107614E-09 8.87728238E-13 2.67640809E+04 9.53593658E+00                   4
N2                      N   2               G   298.150  5000.000  1012.120    1
 2.95131881E+00 1.42972418E-03-5.28895012E-07 9.08065506E-11-5.87913804E-15    2
-9.26686337E+02 5.87158323E+00 3.49669528E+00 7.82472636E-06-3.19842393E-07    3
 1.64664325E-09-8.89193818E-13-1.04289580E+03 3.12399286E+00                   4
CH3NO2                  C   1H   3N   1O   2G   298.150  4000.000  1010.100    1
 5.53399775E+00 1.27149643E-02-5.19453412E-06 9.82225461E-10-7.04869862E-14    2
-1.11408321E+04 6.55598369E-02 7.46018845E-03 2.86532660E-02-2.38241573E-05    3
 1.18205008E-08-2.64689864E-12-9.56723518E+03 2.86502098E+01                   4
NO                      N   1O   1          G   298.150  5000.000  1012.120    1
 3.22577275E+00 1.24300819E-03-4.56262269E-07 7.54617716E-11-4.49990517E-15    2
 9.94544529E+03 6.59282737E+00 4.13254644E+00-3.89499090E-03 9.08995046E-06    3
-7.28269527E-09 2.03792959E-12 9.85662143E+03 2.63597530E+00                   4
H2O                     H   2O   1          G   298.150  5000.000  1012.120    1
 2.68539387E+00 3.00467940E-03-8.39676269E-07 1.12364991E-10-5.78496076E-15    2
-2.99101098E+04 6.82826970E+00 3.54172705E+00 2.43682305E-03-3.82305465E-06    3
 4.38640006E-09-1.56919954E-12-3.02437971E+04 1.93869720E+00                   4
OH                      H   1O   1          G   298.150  5000.000  1012.120    1
 2.87985391E+00 1.01744887E-03-2.30109671E-07 2.24150765E-11-5.64088664E-16    2
 3.68125892E+03 5.63480322E+00 3.68675790E+00-1.51904840E-04-7.87598117E-07    3
 1.44827784E-09-5.01282751E-13 3.38846168E+03 1.15878249E+00                   4
H                       H   1               G   298.150  5000.000  1012.120    1
 2.51142784E+00-7.40050912E-06 2.42252571E-09-3.53826121E-13 1.89320027E-17    2
 2.54840184E+04-5.19233877E-01 2.48305200E+00 1.75156629E-04-4.74611066E-07    3
 5.23373337E-10-2.05564679E-13 2.54902727E+04-3.90500593E-01                   4
O                       O   1               G   298.150  5000.000  1012.120    1
 2.54964449E+00-2.97159017E-05-3.19931916E-09 4.70566294E-12-4.56278915E-16    2
 2.92477871E+04 4.89094396E+00 2.96886667E+00-1.74652563E-03 2.66939135E-06    3
-1.83655092E-09 4.61819524E-13 2.91639165E+04 2.87366543E+00                   4
O2                      O   2               G   298.150  5000.000  1012.120    1
 3.71200834E+00 5.95069057E-04-1.15966897E-07 1.53803809E-11-9.32693245E-16    2
-1.24143420E+03 3.12409099E+00 3.20166884E+00 1.20983011E-03-6.49529723E-07    3
 1.21764349E-09-7.82861918E-13-1.00464884E+03 6.09627539E+00                   4
